,amenity,name,official_name,geometry
205,bank,PNB,Philippine National Bank,POINT (121.0004 6.0536224)
206,bank,Landbank,,POINT (121.0020941 6.0531506)
207,bank,Allied Bank,,POINT (120.9997727 6.0520675)
217,bank,DBP,,POINT (121.0009511 6.053117)
221,bank,PNB,,POINT (119.772937 5.031189)
358,bank,Landbank,,POINT (124.2690414 7.374699)
364,bank,UCPB,,POINT (122.1403982 6.6597657)
365,bank,Landbank,,POINT (119.772592 5.0313168)
366,bank,PNB,,POINT (119.7733897 5.0315394)
367,bank,Metrobank,,POINT (119.7724596 5.0306266)
368,bank,Tawi-Tawian Entrepreneur Consumer Cooperative,,POINT (119.7749611 5.0288082)
394,bank,Amanah Islamic Bank,,POINT (124.2575639 7.9987198)
395,bank,Landbank of the Philippines,,POINT (124.2766767 8.009039700000001)
396,bank,Philippine National Bank,,POINT (124.2569328 7.9948978)
400,bank,PNB Bongao,,POINT (119.77233 5.0312472)
409,bank,Landbank,,POINT (124.26769 7.3744499)
