,amenity,name,geometry,lon,lat
0,marketplace,Maigo Public Market,POINT (123.9589245 8.1596297),123.9589245,8.1596297
1,marketplace,Kawit Public Market,POINT (124.067096 8.1856241),124.067096,8.1856241
2,marketplace,Malungon Central Public Market,POINT (125.270366 6.3763675),125.270366,6.3763675
3,marketplace,City Central Arcade Gate 1,POINT (124.2443526 7.2242619),124.2443526,7.2242619
4,marketplace,Datu Montawal Public Market,POINT (124.7502031 7.0785625),124.7502031,7.0785625
5,marketplace,Malaybalay City Public Market,POINT (125.1334473 8.1478015),125.1334473,8.1478015
6,marketplace,Tiboli South Cotabato Public Market,POINT (124.8110924 6.2615656),124.8110924,6.2615656
7,marketplace,,POINT (125.1279781 8.155775999999999),125.1279781,8.155776
8,marketplace,Citra Mina,POINT (125.0917057 7.9171674),125.0917057,7.9171674
9,marketplace,New Rizal Tuesday Market,POINT (124.937516 6.9018474),124.937516,6.9018474
10,marketplace,Lugait Public Market,POINT (124.2611946 8.342403600000001),124.2611946,8.3424036
11,marketplace,Dimaluna Public Market,POINT (123.8007764 8.120859400000001),123.8007764,8.1208594
12,marketplace,Baungon Public Market,POINT (124.6855876 8.313692100000001),124.6855876,8.3136921
13,marketplace,,POINT (123.4509781 8.4784808),123.4509781,8.4784808
14,marketplace,Pigcawayan Public Market,POINT (124.4230769 7.2784938),124.4230769,7.2784938
15,marketplace,,POINT (122.1364837 6.9623034),122.1364837,6.9623034
16,marketplace,LB Wet Market,POINT (122.0785671 6.9284939),122.0785671,6.9284939
17,marketplace,Awang Public Market,POINT (124.2226204 7.1568153),124.2226204,7.1568153
18,marketplace,Calumpang Public Market,POINT (125.1519326 6.0779853),125.1519326,6.0779853
19,marketplace,Kalagangan Public Market,POINT (125.3896218 7.69089),125.3896218,7.69089
20,marketplace,Public Market Kauswagan,POINT (124.0850523 8.1919798),124.0850523,8.1919798
21,marketplace,Landasan Wet Market,POINT (124.2453087 7.3355365),124.2453087,7.3355365
22,marketplace,Public Market,POINT (124.5355427 7.1887797),124.5355427,7.1887797
23,marketplace,Public Market Agora 2,POINT (123.4082378 7.822541),123.4082378,7.822541
24,marketplace,Esperanza Public Market,POINT (124.5175307 6.7196313),124.5175307,6.7196313
25,marketplace,Labangan Municipal Public Market,POINT (123.506178 7.8606112),123.506178,7.8606112
26,marketplace,Tangub Public Market,POINT (123.7483567 8.065560400000001),123.7483567,8.0655604
27,marketplace,,POINT (125.1283135 6.132881),125.1283135,6.132881
28,marketplace,,POINT (124.6366235 8.495394900000001),124.6366235,8.4953949
29,marketplace,Kabacan Public Market,POINT (124.8245286 7.1061116),124.8245286,7.1061116
30,marketplace,Shariff Aguak Public Market,POINT (124.4446634 6.8623731),124.4446634,6.8623731
31,marketplace,Public market,POINT (124.9290127 6.4444479),124.9290127,6.4444479
32,marketplace,Guipos Public Market,POINT (123.3230674 7.7351677),123.3230674,7.7351677
33,marketplace,,POINT (124.24294 8.245509999999999),124.24294,8.24551
34,marketplace,Alamada Public Market,POINT (124.5534539 7.3868632),124.5534539,7.3868632
35,marketplace,Datu Piang Public Market,POINT (124.5042973 7.0254508),124.5042973,7.0254508
36,marketplace,Banisilan Public Market,POINT (124.6919671 7.5088998),124.6919671,7.5088998
37,marketplace,Ganassi Public Market,POINT (124.1046359 7.8262527),124.1046359,7.8262527
38,marketplace,Masiu Public Market,POINT (124.3248156 7.8161295),124.3248156,7.8161295
39,marketplace,Talipapa,POINT (124.1723892 8.1879841),124.1723892,8.1879841
40,marketplace,,POINT (124.2429773 8.2451414),124.2429773,8.2451414
41,marketplace,Hinaplanon Barangay Market,POINT (124.25993 8.24738),124.25993,8.24738
42,marketplace,City Pala-o Market Relocation Area,POINT (124.25958 8.243309999999999),124.25958,8.24331
43,marketplace,,POINT (124.25863 8.258509999999999),124.25863,8.25851
44,marketplace,Kibangay Public Market,POINT (124.8915813 8.0472153),124.8915813,8.0472153
45,marketplace,Alegria Public Market,POINT (125.2885266 6.1515916),125.2885266,6.1515916
46,marketplace,Malingao Public Market,POINT (123.8675783 7.9774505),123.8675783,7.9774505
47,marketplace,,POINT (124.2663 8.25469),124.2663,8.25469
48,marketplace,Oval Public Market,POINT (122.1361048 6.6630833),122.1361048,6.6630833
49,marketplace,Flea Market,POINT (122.071108 6.931453),122.071108,6.931453
50,marketplace,Sumisip Wet Market,POINT (122.0351779 6.4167846),122.0351779,6.4167846
51,marketplace,,POINT (123.77167 7.9195),123.77167,7.9195
52,marketplace,Tboli public market,POINT (124.8232002 6.2162269),124.8232002,6.2162269
53,marketplace,tboli public market 2,POINT (124.8228408 6.2170641),124.8228408,6.2170641
54,marketplace,Night and Farmers market,POINT (124.8234479 6.2175513),124.8234479,6.2175513
55,marketplace,Lake Sebu Public Market,POINT (124.7183469 6.2344344),124.7183469,6.2344344
56,marketplace,Old public,POINT (123.7485985 8.0644729),123.7485985,8.0644729
